genre,question_html,choices_html,score_multiplier
漢字の読み,"<div class='import-question'><ruby>赤<rt>あか</rt></ruby>い<ruby>漢字<rt>かんじ</rt></ruby>の<ruby>読<rt>よ</rt></ruby>みを<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>犬</span>は、「ワン」と<ruby>鳴<rt>な</rt></ruby>く<ruby>動物<rt>どうぶつ</rt></ruby>で、ペットとして<ruby>人気<rt>にんき</rt></ruby>です。</div>","<ul class='mcq-choices'><li data-correct='1'>いぬ</li><li data-correct='0'>ねこ</li><li data-correct='0'>うま</li><li data-correct='0'>とり</li></ul>",1
漢字の読み,"<div class='import-question'><ruby>赤<rt>あか</rt></ruby>い<ruby>漢字<rt>かんじ</rt></ruby>の<ruby>読<rt>よ</rt></ruby>みを<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>王様</span>は、<ruby>国<rt>くに</rt></ruby>のルールを<ruby>決<rt>き</rt></ruby>めてきた<ruby>家族<rt>かぞく</rt></ruby>の<ruby>中<rt>なか</rt></ruby>の、いま<ruby>一番<rt>いちばん</rt></ruby>えらい<ruby>人<rt>ひと</rt></ruby>です。</div>","<ul class='mcq-choices'><li data-correct='1'>おうさま</li><li data-correct='0'>おおさま</li><li data-correct='0'>たまさま</li><li data-correct='0'>てんさま</li></ul>",1
漢字多肢選択,"<div class='import-question'>＿にあてはまる<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>＿<rt>あめ</rt></ruby></span>とは、<ruby>空<rt>そら</rt></ruby>から<ruby>小<rt>ちい</rt></ruby>さな<ruby>水<rt>みず</rt></ruby>の<ruby>粒<rt>つぶ</rt></ruby>が<ruby>落<rt>お</rt></ruby>ちてくる<ruby>天気<rt>てんき</rt></ruby>のことです。</div>","<ul class='mcq-choices'><li data-correct='1'>雨</li><li data-correct='0'>山</li><li data-correct='0'>川</li><li data-correct='0'>海</li></ul>",1
漢字多肢選択,"<div class='import-question'>＿にあてはまる<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>＿<rt>うえ</rt></ruby></span>とは、<ruby>高<rt>たか</rt></ruby>い<ruby>位置<rt>いち</rt></ruby>のことです。</div>","<ul class='mcq-choices'><li data-correct='1'>上</li><li data-correct='0'>下</li><li data-correct='0'>左</li><li data-correct='0'>右</li></ul>",1
漢字多肢選択,"<div class='import-question'>＿にあてはまる<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>＿<rt>した</rt></ruby></span>とは、<ruby>低<rt>ひく</rt></ruby>い<ruby>位置<rt>いち</rt></ruby>のことです。</div>","<ul class='mcq-choices'><li data-correct='1'>下</li><li data-correct='0'>上</li><li data-correct='0'>左</li><li data-correct='0'>右</li></ul>",1
漢字多肢選択,"<div class='import-question'>＿＿にあてはまる<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>＿＿<rt>みずたま</rt></ruby><ruby>模様<rt>もよう</rt></ruby></span>とは、<ruby>丸<rt>まる</rt></ruby>がたくさん<ruby>描<rt>えが</rt></ruby>かれた<ruby>模様<rt>もよう</rt></ruby>のことです。</div>","<ul class='mcq-choices'><li data-correct='1'>水玉</li><li data-correct='0'>格子</li><li data-correct='0'>市松</li><li data-correct='0'>唐草</li></ul>",1
漢字多肢選択,"<div class='import-question'>＿＿にあてはまる<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>＿＿<rt>にっぽん</rt></ruby></span>は、<ruby>中国<rt>ちゅうごく</rt></ruby>に<ruby>近<rt>ちか</rt></ruby>い<ruby>国<rt>くに</rt></ruby>です。そこではみんな、<ruby>漢字<rt>かんじ</rt></ruby>やひらがなやカタカナを<ruby>使<rt>つか</rt></ruby>われます。</div>","<ul class='mcq-choices'><li data-correct='1'>日本</li><li data-correct='0'>白木</li><li data-correct='0'>目元</li><li data-correct='0'>二本</li></ul>",1
漢字多肢選択,"<div class='import-question'>＿＿にあてはまる<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>＿＿<rt>ちゅうごく</rt></ruby></span>は、<ruby>日本<rt>にほん</rt></ruby>に<ruby>近<rt>ちか</rt></ruby>い<ruby>国<rt>くに</rt></ruby>で、<ruby>漢字<rt>かんじ</rt></ruby>はここで<ruby>作<rt>つく</rt></ruby>られました。</div>","<ul class='mcq-choices'><li data-correct='1'>中国</li><li data-correct='0'>韓国</li><li data-correct='0'>中央</li><li data-correct='0'>英国</li></ul>",1
単語空欄補充,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>寒<rt>さむ</rt></ruby>い＿＿、コートを<ruby>着<rt>き</rt></ruby>た。</span></div>","<ul class='mcq-choices'><li data-correct='1'>から</li><li data-correct='0'>のに</li><li data-correct='0'>より</li><li data-correct='0'>まで</li></ul>",1
単語空欄補充,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'><ruby>寒<rt>さむ</rt></ruby>い＿＿、コートを<ruby>着<rt>き</rt></ruby>なかった。</span></div>","<ul class='mcq-choices'><li data-correct='1'>のに</li><li data-correct='0'>から</li><li data-correct='0'>より</li><li data-correct='0'>まで</li></ul>",1
単語空欄補充,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>きのう，＿＿でサッカーをしました。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>校庭<rt>こうてい</rt></ruby></li><li data-correct='0'><ruby>図書室<rt>としょしつ</rt></ruby></li><li data-correct='0'><ruby>音楽室<rt>おんがくしつ</rt></ruby></li><li data-correct='0'><ruby>理科室<rt>りかしつ</rt></ruby></li></ul>",1
単語空欄補充,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>きのう，<ruby>学校<rt>がっこう</rt></ruby>でサッカーを＿＿。</span></div>","<ul class='mcq-choices'><li data-correct='1'>しました</li><li data-correct='0'>しましょう</li><li data-correct='0'>しよう</li><li data-correct='0'>するらしい</li></ul>",1
単語空欄補充,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>あした，<ruby>学校<rt>がっこう</rt></ruby>でサッカーを＿＿。</span></div>","<ul class='mcq-choices'><li data-correct='1'>する</li><li data-correct='0'>した</li><li data-correct='0'>しなかった</li><li data-correct='0'>してきた</li></ul>",1
単語空欄補充,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>パパ、あとで<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>夜<rt>よる</rt></ruby>ごはんを＿＿。</span></div>","<ul class='mcq-choices'><li data-correct='1'>食べよう</li><li data-correct='0'>食べた</li><li data-correct='0'>食べられない</li><li data-correct='0'>食べてきた</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>わたし＿<ruby>学校<rt>がっこう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きます。</span></div>","<ul class='mcq-choices'><li data-correct='1'>は</li><li data-correct='0'>や</li><li data-correct='0'>に</li><li data-correct='0'>を</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>わたしは<ruby>学校<rt>がっこう</rt></ruby>＿<ruby>行<rt>い</rt></ruby>きます。</span></div>","<ul class='mcq-choices'><li data-correct='1'>に</li><li data-correct='0'>や</li><li data-correct='0'>が</li><li data-correct='0'>を</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>わたしはゲーム＿<ruby>遊<rt>あそ</rt></ruby>ぶのが<ruby>好<rt>す</rt></ruby>きです。</span></div>","<ul class='mcq-choices'><li data-correct='1'>で</li><li data-correct='0'>に</li><li data-correct='0'>が</li><li data-correct='0'>を</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>わたしはゲームで<ruby>遊<rt>あそ</rt></ruby>ぶの＿<ruby>好<rt>す</rt></ruby>きです。</span></div>","<ul class='mcq-choices'><li data-correct='1'>が</li><li data-correct='0'>に</li><li data-correct='0'>と</li><li data-correct='0'>や</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>さっき、わたしと<ruby>友達<rt>ともだち</rt></ruby>は<ruby>先生<rt>せんせい</rt></ruby>＿プレゼントをあげた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>に</li><li data-correct='0'>を</li><li data-correct='0'>が</li><li data-correct='0'>も</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>さっき、わたしと<ruby>友達<rt>ともだち</rt></ruby>は<ruby>先生<rt>せんせい</rt></ruby>にプレゼント＿あげた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>を</li><li data-correct='0'>に</li><li data-correct='0'>が</li><li data-correct='0'>も</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノート＿<ruby>鉛筆<rt>えんぴつ</rt></ruby>で<ruby>名前<rt>なまえ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>に</li><li data-correct='0'>を</li><li data-correct='0'>が</li><li data-correct='0'>で</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノートに<ruby>鉛筆<rt>えんぴつ</rt></ruby>＿<ruby>名前<rt>なまえ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>で</li><li data-correct='0'>を</li><li data-correct='0'>が</li><li data-correct='0'>に</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノートに<ruby>鉛筆<rt>えんぴつ</rt></ruby>で<ruby>名前<rt>なまえ</rt></ruby>＿<ruby>書<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>を</li><li data-correct='0'>で</li><li data-correct='0'>が</li><li data-correct='0'>に</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>りんご＿バナナを<ruby>食<rt>た</rt></ruby>べた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>と</li><li data-correct='0'>に</li><li data-correct='0'>で</li><li data-correct='0'>が</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>りんごもバナナ＿<ruby>食<rt>た</rt></ruby>べた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>も</li><li data-correct='0'>に</li><li data-correct='0'>で</li><li data-correct='0'>が</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>きのうは<ruby>暑<rt>あつ</rt></ruby>かったのに、<ruby>今日<rt>きょう</rt></ruby>＿<ruby>寒<rt>さむ</rt></ruby>い。</span></div>","<ul class='mcq-choices'><li data-correct='1'>は</li><li data-correct='0'>に</li><li data-correct='0'>も</li><li data-correct='0'>が</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>きのうは<ruby>暑<rt>あつ</rt></ruby>かったし、<ruby>今日<rt>きょう</rt></ruby>＿<ruby>暑<rt>あつ</rt></ruby>い。</span></div>","<ul class='mcq-choices'><li data-correct='1'>も</li><li data-correct='0'>に</li><li data-correct='0'>を</li><li data-correct='0'>が</li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>鉛筆<rt>えんぴつ</rt></ruby>を12＿<ruby>買<rt>か</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>人<rt>にん</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>私<rt>わたし</rt></ruby>のクラスは<ruby>全員<rt>ぜんいん</rt></ruby>で32＿です。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>人<rt>にん</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>犬<rt>いぬ</rt></ruby>が4＿も<ruby>生<rt>う</rt></ruby>まれた。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>人<rt>にん</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>黒<rt>くろ</rt></ruby>い<ruby>猫<rt>ねこ</rt></ruby>が2＿<ruby>歩<rt>ある</rt></ruby>いている。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>にんじんを1＿だけ<ruby>買<rt>か</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li><li data-correct='0'><ruby>膳<rt>ぜん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>絵本<rt>えほん</rt></ruby>を10＿<ruby>借<rt>か</rt></ruby>りた。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>サンダルが2＿ある。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>足<rt>そく</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>台<rt>だい</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>お<ruby>箸<rt>はし</rt></ruby>を4＿<ruby>配<rt>くば</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>膳<rt>ぜん</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li></ul>",1
